Liczba węzłów (N),Max Odchyłka (Jednostajny),Max Odchyłka (Czebyszew),RMSE (Jednostajny),RMSE (Czebyszew)
20,958.66862633828,3.847478155791682,197.7539044087396,1.9007687257014372
30,7.6074547261804355,0.0007786244304718026,1.2188583598460634,0.00047959596505914954
40,0.0010059450789370317,2.771037142801358e-09,0.00013567227323242647,1.8209324148645177e-09
50,0.002629475749102994,7.105427357601002e-14,0.00015249418594217142,1.683747282713926e-14
60,2.264313233153942,1.0658141036401503e-13,0.174822077464066,2.1084007606961052e-14
70,2419.6807529267467,1.2079226507921703e-13,169.10096154257778,2.3013290454024516e-14
80,1848154.1464590635,9.947598300641403e-14,109258.4467140907,2.6191750951224544e-14
90,2181452116.859399,1.1368683772161603e-13,143673114.65901428,2.5563252740746444e-14
