Metoda;x0;x1;Rho;Kryterium;Wyznaczony_Pierwiastek;Liczba_Iteracji;Blad_Bezwzgledny;Status
Sieczne;0.8;1.0;1e-06;incremental;0.9999999683559571;3;0.43409705403076937;Sukces
Sieczne;0.8;1.0;1e-06;residual;;6;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.7;-0.4;1e-06;incremental;0.5659029143430215;11;1.7833845511461277e-11;Sukces
Sieczne;0.7;-0.4;1e-06;residual;0.5659030376145869;10;1.232893992453299e-07;Sukces
Sieczne;0.7;1.0;1e-06;incremental;0.9986441669021504;6;0.4327412525769627;Sukces
Sieczne;0.7;1.0;1e-06;residual;;6;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.6;-0.4;1e-06;incremental;0.5659029143652385;7;4.005085152414267e-11;Sukces
Sieczne;0.6;-0.4;1e-06;residual;0.5659026989678957;6;2.1535729199939624e-07;Sukces
Sieczne;0.6;1.0;1e-06;incremental;0.565902914397246;18;7.205835927948101e-11;Sukces
Sieczne;0.6;1.0;1e-06;residual;0.5659032059757637;17;2.9165057602309474e-07;Sukces
Sieczne;0.5;-0.4;1e-06;incremental;0.5659029143239965;8;1.1911582831203305e-12;Sukces
Sieczne;0.5;-0.4;1e-06;residual;0.5659028918165752;7;2.2508612529392735e-08;Sukces
Sieczne;0.5;1.0;1e-06;incremental;0.5659029143244569;17;7.30748794808278e-13;Sukces
Sieczne;0.5;1.0;1e-06;residual;0.5659029314227477;16;1.7097560034429193e-08;Sukces
Sieczne;0.4;-0.4;1e-06;incremental;0.5659029143250359;10;1.517674874662589e-13;Sukces
Sieczne;0.4;-0.4;1e-06;residual;0.565902907884946;9;6.440241673288938e-09;Sukces
Sieczne;0.4;1.0;1e-06;incremental;0.8865349386704495;4;0.32063202434526183;Sukces
Sieczne;0.4;1.0;1e-06;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.3;-0.4;1e-06;incremental;0.5659029142281801;11;9.700762415576492e-11;Sukces
Sieczne;0.3;-0.4;1e-06;residual;0.5659025633470097;10;3.5097817796536646e-07;Sukces
Sieczne;0.3;1.0;1e-06;incremental;0.9513365979830688;4;0.3854336836578811;Sukces
Sieczne;0.3;1.0;1e-06;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.2;-0.4;1e-06;incremental;0.5659029143250175;13;1.701971896750365e-13;Sukces
Sieczne;0.2;-0.4;1e-06;residual;0.5659029073808519;12;6.944335773084731e-09;Sukces
Sieczne;0.2;1.0;1e-06;incremental;0.9795444930584667;4;0.413641578733279;Sukces
Sieczne;0.2;1.0;1e-06;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.1;-0.4;1e-06;incremental;0.5659029142998094;14;2.5378255052999066e-11;Sukces
Sieczne;0.1;-0.4;1e-06;residual;0.5659027612870254;13;1.5303816225387123e-07;Sukces
Sieczne;0.1;1.0;1e-06;incremental;0.9915346580013074;4;0.42563174367611967;Sukces
Sieczne;0.1;1.0;1e-06;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.0;-0.4;1e-06;incremental;0.5659029143251814;16;6.328271240363392e-15;Sukces
Sieczne;0.0;-0.4;1e-06;residual;0.5659015168285362;14;1.397496651511787e-06;Sukces
Sieczne;0.0;1.0;1e-06;incremental;0.9965397923875434;4;0.43063687806235573;Sukces
Sieczne;0.0;1.0;1e-06;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;-0.1;-0.4;1e-06;incremental;0.5659029143249381;17;2.495781359357352e-13;Sukces
Sieczne;-0.1;-0.4;1e-06;residual;0.5659029055286711;16;8.796516626219386e-09;Sukces
Sieczne;-0.1;1.0;1e-06;incremental;0.9985997691715349;4;0.43269685484634723;Sukces
Sieczne;-0.1;1.0;1e-06;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;-0.2;-0.4;1e-06;incremental;0.5659029143241389;18;1.0488276913633854e-12;Sukces
Sieczne;-0.2;-0.4;1e-06;residual;0.5659028929647145;17;2.136047316803058e-08;Sukces
Sieczne;-0.2;1.0;1e-06;incremental;0.9994380548777944;4;0.43353514055260667;Sukces
Sieczne;-0.2;1.0;1e-06;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;-0.3;-0.4;1e-06;incremental;0.5659029143248777;19;3.099742684753437e-13;Sukces
Sieczne;-0.3;-0.4;1e-06;residual;0.5659029042683131;18;1.005687455535309e-08;Sukces
Sieczne;-0.3;1.0;1e-06;incremental;0.9997760444810044;4;0.43387313015581674;Sukces
Sieczne;-0.3;1.0;1e-06;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;-0.4;1.0;1e-06;incremental;0.9999112737511577;4;0.43400835942597005;Sukces
Sieczne;-0.4;1.0;1e-06;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;1.0;-0.4;1e-09;incremental;0.9998225542619226;5;0.4339196399367349;Sukces
Sieczne;1.0;-0.4;1e-09;residual;;5;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.9;-0.4;1e-09;incremental;0.8998391604310351;5;0.3339362461058474;Sukces
Sieczne;0.9;-0.4;1e-09;residual;0.8998391441909162;100;0.33393622986572846;Osiagnieto limit iteracji
Sieczne;0.9;1.0;1e-09;incremental;0.9999999999999998;3;0.4340970856748121;Sukces
Sieczne;0.9;1.0;1e-09;residual;;3;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.8;-0.4;1e-09;incremental;0.5659029143251877;49;0.0;Sukces
Sieczne;0.8;-0.4;1e-09;residual;0.5659029143249756;48;2.120525977034049e-13;Sukces
Sieczne;0.8;1.0;1e-09;incremental;0.9999999683559571;6;0.43409705403076937;Sukces
Sieczne;0.8;1.0;1e-09;residual;;6;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.7;-0.4;1e-09;incremental;0.5659029143251877;12;0.0;Sukces
Sieczne;0.7;-0.4;1e-09;residual;0.5659029143430215;11;1.7833845511461277e-11;Sukces
Sieczne;0.7;1.0;1e-09;incremental;0.9986441669021504;6;0.4327412525769627;Sukces
Sieczne;0.7;1.0;1e-09;residual;;6;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.6;-0.4;1e-09;incremental;0.5659029143251877;8;0.0;Sukces
Sieczne;0.6;-0.4;1e-09;residual;0.5659029143652385;7;4.005085152414267e-11;Sukces
Sieczne;0.6;1.0;1e-09;incremental;0.5659029143251876;19;1.1102230246251565e-16;Sukces
Sieczne;0.6;1.0;1e-09;residual;0.565902914397246;18;7.205835927948101e-11;Sukces
Sieczne;0.5;-0.4;1e-09;incremental;0.5659029143251877;9;0.0;Sukces
Sieczne;0.5;-0.4;1e-09;residual;0.5659029143239965;8;1.1911582831203305e-12;Sukces
Sieczne;0.5;1.0;1e-09;incremental;0.5659029143251877;18;0.0;Sukces
Sieczne;0.5;1.0;1e-09;residual;0.5659029143244569;17;7.30748794808278e-13;Sukces
Sieczne;0.4;-0.4;1e-09;incremental;0.5659029143251877;11;0.0;Sukces
Sieczne;0.4;-0.4;1e-09;residual;0.5659029143250359;10;1.517674874662589e-13;Sukces
Sieczne;0.4;1.0;1e-09;incremental;0.8865349386704495;4;0.32063202434526183;Sukces
Sieczne;0.4;1.0;1e-09;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.3;-0.4;1e-09;incremental;0.5659029143251875;12;2.220446049250313e-16;Sukces
Sieczne;0.3;-0.4;1e-09;residual;0.5659029142281801;11;9.700762415576492e-11;Sukces
Sieczne;0.3;1.0;1e-09;incremental;0.9513365979830688;4;0.3854336836578811;Sukces
Sieczne;0.3;1.0;1e-09;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.2;-0.4;1e-09;incremental;0.5659029143251877;14;0.0;Sukces
Sieczne;0.2;-0.4;1e-09;residual;0.5659029143250175;13;1.701971896750365e-13;Sukces
Sieczne;0.2;1.0;1e-09;incremental;0.9795444930584667;4;0.413641578733279;Sukces
Sieczne;0.2;1.0;1e-09;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.1;-0.4;1e-09;incremental;0.5659029143251877;15;0.0;Sukces
Sieczne;0.1;-0.4;1e-09;residual;0.5659029142998094;14;2.5378255052999066e-11;Sukces
Sieczne;0.1;1.0;1e-09;incremental;0.9915346580013074;4;0.42563174367611967;Sukces
Sieczne;0.1;1.0;1e-09;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;0.0;-0.4;1e-09;incremental;0.5659029143251814;16;6.328271240363392e-15;Sukces
Sieczne;0.0;-0.4;1e-09;residual;0.5659029134161213;15;9.090663777300279e-10;Sukces
Sieczne;0.0;1.0;1e-09;incremental;0.9965397923875434;4;0.43063687806235573;Sukces
Sieczne;0.0;1.0;1e-09;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;-0.1;-0.4;1e-09;incremental;0.5659029143251877;18;0.0;Sukces
Sieczne;-0.1;-0.4;1e-09;residual;0.5659029143249381;17;2.495781359357352e-13;Sukces
Sieczne;-0.1;1.0;1e-09;incremental;0.9985997691715349;4;0.43269685484634723;Sukces
Sieczne;-0.1;1.0;1e-09;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;-0.2;-0.4;1e-09;incremental;0.5659029143251877;19;0.0;Sukces
Sieczne;-0.2;-0.4;1e-09;residual;0.5659029143241389;18;1.0488276913633854e-12;Sukces
Sieczne;-0.2;1.0;1e-09;incremental;0.9994380548777944;4;0.43353514055260667;Sukces
Sieczne;-0.2;1.0;1e-09;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;-0.3;-0.4;1e-09;incremental;0.5659029143251877;20;0.0;Sukces
Sieczne;-0.3;-0.4;1e-09;residual;0.5659029143248777;19;3.099742684753437e-13;Sukces
Sieczne;-0.3;1.0;1e-09;incremental;0.9997760444810044;4;0.43387313015581674;Sukces
Sieczne;-0.3;1.0;1e-09;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
Sieczne;-0.4;1.0;1e-09;incremental;0.9999112737511577;4;0.43400835942597005;Sukces
Sieczne;-0.4;1.0;1e-09;residual;;4;;Blad: f(x1) - f(x0) bliskie 0
