n,||x||_max_float32,||x||_max_float64
2,0.0000e+00,0.0000e+00
3,2.3842e-07,0.0000e+00
4,6.5565e-07,8.8818e-16
5,4.7684e-07,8.8818e-16
6,7.1526e-07,8.8818e-16
7,1.2517e-06,7.7716e-16
8,2.0266e-06,1.4433e-15
9,2.0266e-06,2.2204e-15
10,2.5034e-06,3.3307e-15
11,1.9073e-06,3.7748e-15
12,3.5763e-06,7.3275e-15
13,4.5896e-06,7.1054e-15
14,7.3910e-06,5.8842e-15
15,3.6359e-06,6.7724e-15
16,5.4836e-06,7.1054e-15
17,4.2319e-06,8.2157e-15
18,5.5432e-06,1.0325e-14
19,4.1127e-06,1.0658e-14
20,7.2122e-06,8.6597e-15
50,4.2558e-05,7.8715e-14
100,3.8016e-04,9.7655e-13
150,1.0071e-03,2.0217e-12
200,1.0879e-03,1.9769e-12
250,2.8057e-03,7.2535e-12
