(float): 0.6231989, (f-d diff): 0.1275547, (double): 0.4956442, (d-l diff): 0.4137451, (long double): 0.0818992
(float): 1.3276650, (f-d diff): 0.0820777, (double): 1.2455873, (d-l diff): 0.9381131, (long double): 0.3074742
(float): 0.0225770, (f-d diff): 0.3053090, (double): 0.3278860, (d-l diff): 0.6183897, (long double): 0.9462757
(float): 0.0887790, (f-d diff): 0.9002373, (double): 0.9890164, (d-l diff): 0.1097734, (long double): 1.0987897
(float): 0.3314709, (f-d diff): 0.6901345, (double): 1.0216054, (d-l diff): 0.2484631, (long double): 0.7731423
(float): 0.9962648, (f-d diff): 0.0408758, (double): 0.9553889, (d-l diff): 0.3439332, (long double): 1.2993221
(float): 1.0074286, (f-d diff): 0.0758231, (double): 1.0832517, (d-l diff): 0.9506773, (long double): 0.1325745
(float): 0.9849771, (f-d diff): 0.1722731, (double): 0.8127040, (d-l diff): 0.3351341, (long double): 0.4775699
(float): 1.0293686, (f-d diff): 0.2399840, (double): 1.2693526, (d-l diff): 0.0432921, (long double): 1.2260605
(float): 0.9386752, (f-d diff): 0.6950330, (double): 0.2436422, (d-l diff): 0.1509266, (long double): 0.3945688
(float): 1.1113675, (f-d diff): 0.3148833, (double): 0.7964842, (d-l diff): 0.3147374, (long double): 1.1112216
(float): 0.7400569, (f-d diff): 0.5427186, (double): 1.2827756, (d-l diff): 0.5423296, (long double): 0.7404460
(float): 1.3171749, (f-d diff): 1.1226121, (double): 0.1945628, (d-l diff): 1.1224404, (long double): 1.3170032
(float): 0.0638504, (f-d diff): 0.6008367, (double): 0.6646871, (d-l diff): 0.6001664, (long double): 0.0645207
(float): 0.2431710, (f-d diff): 1.0901506, (double): 1.3333216, (d-l diff): 1.0877276, (long double): 0.2455940
(float): 0.7952876, (f-d diff): 0.7952406, (double): 0.0000470, (d-l diff): 0.8013797, (long double): 0.8014268
(float): 1.2837033, (f-d diff): 1.2835152, (double): 0.0001881, (d-l diff): 1.2786644, (long double): 1.2788525
(float): 0.1911306, (f-d diff): 0.1903784, (double): 0.0007523, (d-l diff): 0.2082667, (long double): 0.2090189
(float): 0.6549298, (f-d diff): 0.6519223, (double): 0.0030074, (d-l diff): 0.7020016, (long double): 0.7050090
(float): 1.3329201, (f-d diff): 1.3209175, (double): 0.0120026, (d-l diff): 1.3169203, (long double): 1.3289229
(float): 0.0016525, (f-d diff): 0.0459256, (double): 0.0475781, (d-l diff): 0.0299948, (long double): 0.0175833
(float): 0.0066017, (f-d diff): 0.1769197, (double): 0.1835214, (d-l diff): 0.1141158, (long double): 0.0694056
(float): 0.0262762, (f-d diff): 0.6067692, (double): 0.6330454, (d-l diff): 0.3698744, (long double): 0.2631710
(float): 0.1030333, (f-d diff): 1.2269089, (double): 1.3299422, (d-l diff): 0.4850351, (long double): 0.8449071
(float): 0.3802856, (f-d diff): 0.3667554, (double): 0.0135302, (d-l diff): 1.2244942, (long double): 1.2380244
(float): 1.0872910, (f-d diff): 1.0337195, (double): 0.0535715, (d-l diff): 0.3004130, (long double): 0.3539845
(float): 0.8025588, (f-d diff): 0.5968825, (double): 0.2056763, (d-l diff): 0.8343466, (long double): 1.0400229
(float): 1.2779332, (f-d diff): 0.5821362, (double): 0.6957970, (d-l diff): 0.2193517, (long double): 0.9151487
(float): 0.2123928, (f-d diff): 1.1183948, (double): 1.3307876, (d-l diff): 0.1826843, (long double): 1.1481033
(float): 0.7142391, (f-d diff): 0.7040756, (double): 0.0101635, (d-l diff): 0.6278260, (long double): 0.6379895
(float): 1.3265439, (f-d diff): 1.2861999, (double): 0.0403441, (d-l diff): 1.2905221, (long double): 1.3308662
(float): 0.0270193, (f-d diff): 0.1294740, (double): 0.1564933, (d-l diff): 0.1466430, (long double): 0.0098503
(float): 0.1058869, (f-d diff): 0.4466158, (double): 0.5525027, (d-l diff): 0.5133926, (long double): 0.0391101
(float): 0.3899116, (f-d diff): 0.9043215, (double): 1.2942331, (d-l diff): 1.1423815, (long double): 0.1518516
(float): 1.1035532, (f-d diff): 0.9517388, (double): 0.1518144, (d-l diff): 0.3864154, (long double): 0.5382297
(float): 0.7607239, (f-d diff): 0.2226092, (double): 0.5381147, (d-l diff): 0.7457305, (long double): 1.2838452
(float): 1.3067931, (f-d diff): 0.0230366, (double): 1.2837565, (d-l diff): 1.0931512, (long double): 0.1906053
(float): 0.1040479, (f-d diff): 0.0868859, (double): 0.1909338, (d-l diff): 0.4624964, (long double): 0.6534301
(float): 0.3837137, (f-d diff): 0.2706543, (double): 0.6543680, (d-l diff): 0.6784397, (long double): 1.3328077
(float): 1.0931461, (f-d diff): 0.2397335, (double): 1.3328796, (d-l diff): 1.3307779, (long double): 0.0021016
(float): 0.7876793, (f-d diff): 0.7858648, (double): 0.0018145, (d-l diff): 0.0065788, (long double): 0.0083933
(float): 1.2894013, (f-d diff): 1.2821533, (double): 0.0072480, (d-l diff): 0.0261139, (long double): 0.0333620
(float): 0.1699381, (f-d diff): 0.1411036, (double): 0.0288345, (d-l diff): 0.1012742, (long double): 0.1301087
(float): 0.5931154, (f-d diff): 0.4802717, (double): 0.1128438, (d-l diff): 0.3568063, (long double): 0.4696501
(float): 1.3171040, (f-d diff): 0.9039300, (double): 0.4131740, (d-l diff): 0.8037128, (long double): 1.2168868
(float): 0.0641272, (f-d diff): 1.0764305, (double): 1.1405577, (d-l diff): 0.7154509, (long double): 0.4251068
