Rozmiar n,Promien spektralny,Warunek zbieznosci (< 1)
10,0.09375000000000007,True
30,0.09375000000000006,True
50,0.09374999999999968,True
80,0.0937500000000003,True
100,0.09375000000000025,True
150,0.09374999999999994,True
200,0.0937500000000002,True
250,0.09375000000000003,True
300,0.09375000000000025,True
350,0.0937499999999998,True
400,0.09375000000000014,True
450,0.09375000000000012,True
500,0.0937499999999998,True
