nodes_number,max_diff_uniform,max_diff_chebyshev,error_uniform,error_chebyshev
3,19.999554981504108,26.549903515100368,129.0348790056393,125.77646978368968
4,19.99955498150412,46.37084565465437,96.77615925422953,189.27485840513594
5,16.59853743875658,31.380841896523997,64.05658380058141,98.21183876590229
6,75.07501303778558,39.89624103837933,160.84962013172287,98.31568148819514
7,19.99955498150415,32.30527017491899,55.30066243098836,61.03033737985698
8,261.5393542289232,38.89195986308775,329.74414140754834,50.332390698153
9,396.3734418989844,18.975875974241212,405.01381095947505,27.632106861922146
10,336.4311194113775,7.695727466476196,287.2614007467625,10.409253612012577
15,2.2157161493835247,0.0015490376652635973,0.9672104747606132,0.0017509995996494194
20,0.0002539748021419541,0.00014796992640953022,6.669398592686702e-05,2.1131840057671244e-05
25,0.00017132826194199424,0.0008088182538230626,1.9004280461619243e-05,0.0001057352769591159
30,0.013980500707113208,0.002530927981680975,0.001870133456032977,0.0002858284050492787
35,0.336115601090917,34.43697636245303,0.028505776251606114,2.0642599589478934
40,10136.18327436777,239731.8480785222,443.8352742692231,11029.708044811261
45,260086572.19352686,492689007549.7512,12785276.300003303,26046484129.139946
