x0,variant,k,float_val,double_val,long_double_val,delta_fd,delta_dl
0.100000000000000000001,basic,0,0.100000001490116119385,0.100000000000000005551,0.100000000000000000001,1.490116113833650501874e-09,5.549759870410175821576e-18
0.100000000000000000001,basic,1,0.370000004768371582031,0.370000000000000106581,0.370000000000000000004,4.768371475449839635985e-09,1.065770735553250858629e-16
0.100000000000000000001,basic,2,1.069299936294555664062,1.069300000000000139266,1.069300000000000000055,6.370544447520387620898e-08,1.392115589471387693266e-16
0.100000000000000000001,basic,3,0.846992671489715576172,0.846992529999999632651,0.846992529999999999870,1.414897159435213325196e-07,3.672192758208403517983e-16
0.100000000000000000001,basic,4,1.235780954360961914062,1.235781082372597650121,1.235781082372597300140,1.280116357360583378977e-07,3.499804612783208312976e-16
0.100000000000000000001,basic,5,0.361660122871398925781,0.361659678840423715052,0.361659678840424859861,4.440309752107296503709e-07,1.144809073927444131868e-15
0.100000000000000000001,basic,6,1.054246425628662109375,1.054245545464819411308,1.054245545464821680109,8.801638426980673557409e-07,2.268801466143166578604e-15
0.100000000000000000001,basic,7,0.882679104804992675781,0.882681171462033842268,0.882681171462028531954,2.066657041166486408201e-06,5.310313820616752167325e-15
0.100000000000000000001,basic,8,1.193349242210388183594,1.193346534487370158573,1.193346534487377090528,2.707723018025021133326e-06,6.931955010003321149270e-15
0.100000000000000000001,basic,9,0.501149773597717285156,0.501158283830432149664,0.501158283830410322993,8.510232714864507386210e-06,2.182667024550055678844e-14
0.100000000000000000001,basic,10,1.251145839691162109375,1.251154258966136634257,1.251154258966114953032,8.419274974524881827165e-06,2.168122452406162636862e-14
0.100000000000000000001,basic,11,0.308485627174377441406,0.308456096677239055559,0.308456096677315094127,2.953049713838584722225e-05,7.603856780336037957113e-14
0.100000000000000000001,basic,12,0.948452353477478027344,0.948388895976881474148,0.948388895977044908952,6.345750059655319574858e-05,1.634348038848099093912e-13
0.100000000000000000001,basic,13,1.095123767852783203125,1.095231089870781548967,1.095231089870505308565,1.073220179983458422157e-04,2.762404020806297211266e-13
0.100000000000000000001,basic,14,0.782606840133666992188,0.782330938824506327833,0.782330938825216606512,2.759013091606643541809e-04,7.102786783209913412662e-13
0.100000000000000000001,basic,15,1.293006896972656250000,1.293198661771925106478,1.293198661771432001139,1.917647992688564784203e-04,4.931053395468287803283e-13
0.100000000000000000001,basic,16,0.156427025794982910156,0.155706310661606561752,0.155706310663460254190,7.207151333763484046813e-04,1.853692438262555253203e-12
0.100000000000000000001,basic,17,0.552299857139587402344,0.550091877106880122739,0.550091877112563027406,2.207980032707279605120e-03,5.682904667680954702291e-12
0.100000000000000000001,basic,18,1.294094085693359375000,1.292564288650607906561,1.292564288654582680413,1.529797042751468438837e-03,3.974773852069568569334e-12
0.100000000000000000001,basic,19,0.152337789535522460938,0.158089833717875549723,0.158089833702948710879,5.752044182353088785931e-03,1.492683884482537415295e-11
0.100000000000000000001,basic,20,0.539730787277221679688,0.557382148296665658194,0.557382148251116909176,1.765136101944397850616e-02,4.554874901731287284434e-11
0.100000000000000000001,basic,21,1.284995198249816894531,1.297504015467243920767,1.297504015437377431061,1.250881721742702623601e-02,2.986648970672300951179e-11
0.100000000000000000001,basic,22,0.186342835426330566406,0.139466051408109859011,0.139466051521155211387,4.687678401822070739513e-02,1.130453523758706557700e-10
0.100000000000000000001,basic,23,0.641200423240661621094,0.499511867146330834633,0.499511867503916285981,1.416885560943307864612e-01,3.575854513480827140404e-10
0.100000000000000000001,basic,24,1.331387758255004882812,1.249511152325282425934,1.249511152683915087155,8.187660592972245687804e-02,3.586326612200693708665e-10
0.100000000000000000001,basic,25,0.007770895957946777344,0.314210249945364172852,0.314210248691201864720,3.064393539874173955084e-01,1.254162308131790554144e-09
0.100000000000000000001,basic,26,0.030902422964572906494,0.960656756269272049664,0.960656753617046689432,9.297543333046991431701e-01,2.652225360231900974650e-09
0.100000000000000000001,basic,27,0.120744809508323669434,1.074042814979689453025,1.074042819658057314864,9.532980054713657835919e-01,4.678367861838360342031e-09
0.100000000000000000001,basic,28,0.439241290092468261719,0.835467354690271557516,0.835467343255138574041,3.962260645978032957970e-01,1.143513298347510406816e-08
0.100000000000000000001,basic,29,1.178166389465332031250,1.247852316501606217969,1.247852328083155669641,6.968592703627418671886e-02,1.158154945167175209342e-08
0.100000000000000000001,basic,30,0.548437416553497314453,0.320003054611150417053,0.320003014224967950859,2.284343619423468974006e-01,4.038618246619309071210e-08
0.100000000000000000001,basic,31,1.291398882865905761719,0.972806353563200887358,0.972806269560676681340,3.185925293027048743610e-01,8.400252420601769104413e-08
0.100000000000000000001,basic,32,0.162462353706359863281,1.052168809654009384857,1.052168963953026898446,8.897064559476495215762e-01,1.542990175135887723212e-07
