k,compiler,x0,variant,precise_delta
85,MSVC,0.100000000000000102696,basic,8.11e-01
86,MSVC,0.100000000000000102696,basic,3.58e-01
87,MSVC,0.100000000000000102696,basic,3.39e-01
88,MSVC,0.100000000000000102696,basic,1.01e+00
89,MSVC,0.100000000000000102696,basic,9.51e-01
90,MSVC,0.100000000000000102696,basic,9.62e-01
91,MSVC,0.100000000000000102696,basic,5.57e-01
92,MSVC,0.100000000000000102696,basic,1.86e-01
93,MSVC,0.100000000000000102696,basic,4.75e-01
94,MSVC,0.100000000000000102696,basic,2.85e-01
95,MSVC,0.100000000000000102696,basic,8.00e-01
96,MSVC,0.100000000000000102696,basic,2.41e-01
97,MSVC,0.100000000000000102696,basic,2.58e-01
98,MSVC,0.100000000000000102696,basic,8.17e-01
99,MSVC,0.100000000000000102696,basic,1.07e+00
0,MSVC,0.100000000000000102696,alt,2.70e-18
1,MSVC,0.100000000000000102696,alt,2.86e-17
2,MSVC,0.100000000000000102696,alt,1.83e-16
3,MSVC,0.100000000000000102696,alt,1.78e-16
4,MSVC,0.100000000000000102696,alt,1.82e-16
5,MSVC,0.100000000000000102696,alt,4.70e-16
6,MSVC,0.100000000000000102696,alt,6.60e-16
7,MSVC,0.100000000000000102696,alt,2.16e-15
8,MSVC,0.100000000000000102696,alt,2.60e-15
9,MSVC,0.100000000000000102696,alt,8.18e-15
10,MSVC,0.100000000000000102696,alt,8.22e-15
11,MSVC,0.100000000000000102696,alt,2.89e-14
12,MSVC,0.100000000000000102696,alt,6.24e-14
13,MSVC,0.100000000000000102696,alt,1.06e-13
14,MSVC,0.100000000000000102696,alt,2.71e-13
15,MSVC,0.100000000000000102696,alt,1.88e-13
16,MSVC,0.100000000000000102696,alt,7.08e-13
17,MSVC,0.100000000000000102696,alt,2.17e-12
18,MSVC,0.100000000000000102696,alt,1.52e-12
19,MSVC,0.100000000000000102696,alt,5.70e-12
20,MSVC,0.100000000000000102696,alt,1.74e-11
21,MSVC,0.100000000000000102696,alt,1.14e-11
22,MSVC,0.100000000000000102696,alt,4.32e-11
23,MSVC,0.100000000000000102696,alt,1.37e-10
24,MSVC,0.100000000000000102696,alt,1.37e-10
25,MSVC,0.100000000000000102696,alt,4.79e-10
26,MSVC,0.100000000000000102696,alt,1.01e-09
27,MSVC,0.100000000000000102696,alt,1.79e-09
28,MSVC,0.100000000000000102696,alt,4.37e-09
29,MSVC,0.100000000000000102696,alt,4.42e-09
30,MSVC,0.100000000000000102696,alt,1.54e-08
31,MSVC,0.100000000000000102696,alt,3.21e-08
32,MSVC,0.100000000000000102696,alt,5.89e-08
33,MSVC,0.100000000000000102696,alt,1.36e-07
34,MSVC,0.100000000000000102696,alt,1.81e-07
35,MSVC,0.100000000000000102696,alt,5.64e-07
36,MSVC,0.100000000000000102696,alt,4.93e-07
37,MSVC,0.100000000000000102696,alt,1.78e-06
38,MSVC,0.100000000000000102696,alt,4.54e-06
39,MSVC,0.100000000000000102696,alt,3.46e-06
40,MSVC,0.100000000000000102696,alt,1.28e-05
41,MSVC,0.100000000000000102696,alt,3.70e-05
42,MSVC,0.100000000000000102696,alt,5.69e-06
43,MSVC,0.100000000000000102696,alt,2.27e-05
44,MSVC,0.100000000000000102696,alt,8.97e-05
45,MSVC,0.100000000000000102696,alt,3.42e-04
46,MSVC,0.100000000000000102696,alt,1.12e-03
47,MSVC,0.100000000000000102696,alt,1.49e-03
48,MSVC,0.100000000000000102696,alt,4.63e-03
49,MSVC,0.100000000000000102696,alt,3.94e-03
50,MSVC,0.100000000000000102696,alt,1.43e-02
51,MSVC,0.100000000000000102696,alt,3.75e-02
52,MSVC,0.100000000000000102696,alt,2.15e-02
53,MSVC,0.100000000000000102696,alt,8.22e-02
54,MSVC,0.100000000000000102696,alt,2.74e-01
55,MSVC,0.100000000000000102696,alt,4.37e-01
56,MSVC,0.100000000000000102696,alt,1.04e+00
57,MSVC,0.100000000000000102696,alt,2.93e-01
58,MSVC,0.100000000000000102696,alt,2.79e-01
59,MSVC,0.100000000000000102696,alt,8.81e-01
60,MSVC,0.100000000000000102696,alt,1.19e+00
61,MSVC,0.100000000000000102696,alt,4.74e-01
62,MSVC,0.100000000000000102696,alt,1.14e+00
63,MSVC,0.100000000000000102696,alt,1.26e-01
64,MSVC,0.100000000000000102696,alt,2.31e-01
65,MSVC,0.100000000000000102696,alt,5.22e-01
66,MSVC,0.100000000000000102696,alt,6.26e-01
67,MSVC,0.100000000000000102696,alt,1.29e+00
68,MSVC,0.100000000000000102696,alt,1.61e-01
69,MSVC,0.100000000000000102696,alt,5.55e-01
70,MSVC,0.100000000000000102696,alt,1.16e+00
71,MSVC,0.100000000000000102696,alt,5.17e-01
72,MSVC,0.100000000000000102696,alt,1.09e+00
73,MSVC,0.100000000000000102696,alt,6.35e-01
74,MSVC,0.100000000000000102696,alt,9.51e-01
75,MSVC,0.100000000000000102696,alt,1.01e+00
76,MSVC,0.100000000000000102696,alt,6.42e-01
77,MSVC,0.100000000000000102696,alt,5.16e-01
78,MSVC,0.100000000000000102696,alt,9.41e-01
79,MSVC,0.100000000000000102696,alt,1.07e+00
80,MSVC,0.100000000000000102696,alt,6.77e-01
81,MSVC,0.100000000000000102696,alt,9.25e-01
82,MSVC,0.100000000000000102696,alt,9.28e-01
83,MSVC,0.100000000000000102696,alt,3.25e-01
84,MSVC,0.100000000000000102696,alt,2.06e-02
85,MSVC,0.100000000000000102696,alt,7.27e-02
86,MSVC,0.100000000000000102696,alt,1.61e-01
87,MSVC,0.100000000000000102696,alt,2.47e-01
88,MSVC,0.100000000000000102696,alt,6.67e-01
89,MSVC,0.100000000000000102696,alt,5.15e-02
90,MSVC,0.100000000000000102696,alt,1.03e-01
91,MSVC,0.100000000000000102696,alt,2.05e-01
92,MSVC,0.100000000000000102696,alt,4.01e-01
93,MSVC,0.100000000000000102696,alt,7.63e-01
94,MSVC,0.100000000000000102696,alt,1.12e+00
95,MSVC,0.100000000000000102696,alt,3.39e-01
96,MSVC,0.100000000000000102696,alt,5.71e-01
97,MSVC,0.100000000000000102696,alt,1.18e+00
98,MSVC,0.100000000000000102696,alt,4.70e-01
99,MSVC,0.100000000000000102696,alt,1.10e+00
