nodes_number,max_diff_uniform,max_diff_chebyshev,error_uniform,error_chebyshev
3,19.99955498150411,24.214167818860034,129.03487900563937,110.07167024274428
4,19.99955498150411,16.751296131728026,96.77615925422953,69.44371156633619
5,26.367581738679277,18.936053914232183,75.56962670678459,56.10574399018092
6,19.848016597780273,18.176192476806065,53.47165252628346,46.935050072218026
7,19.999554981504126,18.34860446681525,55.300662430988325,41.688477467610824
8,19.994442550766415,21.06991844580782,39.47247488914797,38.644183027035375
9,15.446443978925913,21.384795424098122,34.16524750035606,37.00008534521857
10,29.02356676840815,21.41725718934775,45.78099115950871,30.357570247040286
20,958.6686263410749,3.847478155787197,312.6763770614879,3.005379239201308
30,7.607454723915957,0.0007786243131171489,1.2847892958080946,0.0005055324831000604
40,0.0010012231832945417,8.43091779145766e-05,0.00010682487900011794,6.0538419533695795e-06
50,0.000394809634599369,0.0008224458356167474,2.8199743726095404e-05,4.013564277130907e-05
60,0.400088677910567,0.0037343156384181952,0.019066401185891677,0.00015729371139956426
70,250.6435325931866,344.8129769334346,9.25288662624665,9.802142692662816
80,248101.67333215754,5240640.828372455,7010.120430064764,134932.22614920605
90,16665601581.346476,623371000014.5264,312912513.35314703,11968401555.995565
100,1712495728785378.5,1.2584338876418192e+17,30137458601064.824,2109643977715745.5
200,8.850658632637697e+61,4.1121140009000085e+66,6.712926351947178e+59,3.83126777961208e+64
