nodes_number,max_diff_uniform,max_diff_chebyshev,error_uniform,error_chebyshev
3,19.99955498150411,24.214167818860048,129.0348790056394,110.07167024274433
4,19.99955498150411,16.751296131728036,96.77615925422955,69.4437115663362
5,26.367581738679284,18.93605391423218,75.56962670678459,56.10574399018092
6,19.848016597780276,18.176192476806058,53.47165252628346,46.93505007221804
7,19.99955498150411,18.34860446681525,55.30066243098832,41.68847746761083
8,19.994442550766422,21.06991844580786,39.47247488914797,38.64418302703559
9,15.446443978925917,21.384795424098115,34.165247500356045,37.00008534521873
10,29.023566768408134,21.417257189347424,45.78099115950887,30.35757024704028
20,958.66862633828,3.847478155791682,312.67637706141517,3.0053792392161864
30,7.6074547261804355,0.0007786244304718026,1.284789520750226,0.0005055385354044811
40,0.0010059450789370317,2.771037142801358e-09,0.00010725834968679067,1.4395734740506308e-09
50,0.002629475749102994,7.105427357601002e-14,9.644579150209832e-05,1.0648952834990921e-14
60,2.264313233153942,1.0658141036401503e-13,0.09213932501147364,1.1112247707052185e-14
70,2419.6807529267467,1.2079226507921703e-13,76.39202757129799,1.0396344898532564e-14
80,1848154.1464590635,9.947598300641403e-14,43188.193153583285,1.035319861421891e-14
90,2181452116.859399,1.1368683772161603e-13,50481586.76144566,8.982011451477842e-15
100,2403170974697.9775,1.2079226507921703e-13,29128543508.64482,8.470832321033446e-15
200,2.388304832133453e+41,1.4921397450962104e-13,1.683590318781669e+39,6.714831477798018e-15
