nodes_number,max_diff_uniform,max_diff_chebyshev,error_uniform,error_chebyshev
3,19.999554981504108,26.549903515100368,0.38710463701691794,0.37732940935106907
4,19.99955498150412,46.37084565465437,0.3871046370169181,0.7570994336205438
5,16.59853743875658,31.380841896523997,0.320282919002907,0.49105919382951146
6,75.07501303778558,39.89624103837933,0.9650977207903373,0.5898940889291708
7,19.99955498150415,32.30527017491899,0.3871046370169185,0.4272123616589989
8,261.5393542289232,38.89195986308775,2.6379531312603866,0.402659125585224
9,396.3734418989844,18.975875974241212,3.645124298635275,0.24868896175729932
10,336.4311194113775,7.695727466476196,2.872614007467625,0.10409253612012577
20,0.0002539748021419541,0.00014796992640953022,1.3338797185373405e-06,4.226368011534249e-07
30,0.013980500707113208,0.002530927981680975,5.610400368098931e-05,8.57485215147836e-06
40,10136.18327436777,239731.8480785222,17.753410970768925,441.18832179245044
50,13408558058338.125,1.5656682673077798e+16,18516231093.646393,38517796228956.04
60,6.171787533619651e+22,3.536826681543725e+26,9.782969823954108e+19,8.374518170139689e+23
70,7.48213307998495e+32,1.846859367262441e+35,1.1257937896167587e+30,2.629190599934417e+32
80,2.7772403065445913e+42,2.0579565240953399e+46,5.1582121429427633e+39,2.4458615699890844e+43
90,7.645792577417176e+50,3.2793391462392554e+56,1.234498031474137e+48,6.602202205285651e+53
100,2.3910952438303998e+61,2.1373286107589824e+66,3.6590980052311013e+58,3.697069044792179e+63
200,2.5434997025554024e+156,4.0383272375000807e+167,inf,inf
